Version,"RVGL 21.0125a","P2P","Client"
Session,"08/01/21 21:08:47","ANB BGM","Arcade",3,"true"
Results,"Toy World 1",10
#,Player,Car,Time,BestLap,Finished,Cheating
06,"WAR C.EMMANUEL","Phat Trucker","03:19:679","00:58:559","true","false"
07,"RBK TT","Phat Trucker","03:21:895","01:04:571","true","false"
08,"WAR MICHEL","Phat Trucker","03:24:828","01:03:519","true","false"
09,"RBK MARRAX","Phat Trucker","03:27:621","01:05:362","true","false"
10,"RAL LINGOT","Phat Trucker","03:33:581","01:01:809","true","false"
11,"ZPL NUC","Phat Trucker","03:42:086","01:08:122","true","false"
12,"ZAP LOPESCA","Phat Trucker","03:50:963","00:54:539","true","false"
13,"NVK JONAY05","Phat Trucker","04:18:325","01:09:200","true","false"
14,"ZPL LOQ","Phat Trucker","04:33:425","01:02:849","true","false"
Results,"Museum 1",15
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ANB BGM","Dr. Grudge","03:20:686","01:03:620","true","false"
02,"SUS KIKI","Dr. Grudge","03:40:631","01:08:173","true","false"
03,"ZAP LOPESCA","Dr. Grudge","03:46:903","01:09:049","true","false"
04,"ANB POWERATE","Dr. Grudge","03:49:873","01:09:387","true","false"
05,"ZPL GORGON","Dr. Grudge","03:53:384","01:07:762","true","false"
06,"WAR C.EMMANUEL","Dr. Grudge","03:54:649","01:14:314","true","false"
07,"RBK TT","Dr. Grudge","03:55:404","01:13:153","true","false"
08,"ZAP HONKA","Dr. Grudge","04:03:806","01:09:504","true","false"
09,"WAR MICHEL","Dr. Grudge","04:05:205","01:09:440","true","false"
10,"WAR DRACO","Dr. Grudge","04:05:947","01:14:426","true","false"
11,"RBK MARRAX","Dr. Grudge","04:12:300","01:19:517","true","false"
12,"ZPL LOQ","Dr. Grudge","04:17:452","01:14:111","true","false"
13,"RAL LINGOT","Dr. Grudge","04:20:299","01:16:071","true","false"
14,"ZPL NUC","Dr. Grudge","04:22:116","01:13:570","true","false"
15,"NVK JONAY05","Dr. Grudge","04:28:818","01:15:265","true","false"
Results,"Helios/Lunar",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ANB POWERATE","Aerozad","02:34:250","00:50:794","true","false"
02,"RBK MARRAX","Aerozad","02:35:458","00:48:436","true","false"
03,"WAR MICHEL","Aerozad","02:37:066","00:49:896","true","false"
04,"ZPL LOQ","Aerozad","02:38:026","00:50:483","true","false"
05,"ZPL GORGON","Aerozad","02:41:196","00:49:394","true","false"
06,"ANB BGM","Aerozad","02:43:336","00:48:949","true","false"
07,"WAR C.EMMANUEL","Aerozad","02:56:420","00:52:728","true","false"
08,"SUS KIKI","Aerozad","03:00:286","00:57:355","true","false"
09,"ZAP LOPESCA","Aerozad","03:03:810","00:54:633","true","false"
10,"RBK TT","Aerozad","03:09:219","00:59:816","true","false"
11,"ZPL NUC","Aerozad","03:09:516","00:57:692","true","false"
12,"ZAP HONKA","Aerozad","03:13:385","01:02:880","true","false"
13,"RAL LINGOT","Aerozad","03:18:802","00:59:863","true","false"
Results,"PetroVolt: Redux",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"WAR C.EMMANUEL","Porumbarul","03:56:263","01:16:626","true","false"
02,"SUS KIKI","Porumbarul","04:01:382","01:17:356","true","false"
03,"ANB BGM","Porumbarul","04:01:883","01:18:848","true","false"
04,"ANB POWERATE","Porumbarul","04:02:533","01:19:081","true","false"
05,"ZAP HONKA","Porumbarul","04:10:814","01:18:943","true","false"
06,"RBK TT","Porumbarul","04:11:819","01:19:408","true","false"
07,"WAR MICHEL","Porumbarul","04:18:444","01:22:482","true","false"
08,"ZPL LOQ","Porumbarul","04:23:404","01:26:532","true","false"
09,"ZAP LOPESCA","Porumbarul","04:23:970","01:26:252","true","false"
10,"ZPL GORGON","Porumbarul","04:36:646","01:22:306","true","false"
11,"RBK MARRAX","Porumbarul","04:48:040","01:29:119","true","false"
12,"RAL LINGOT","Porumbarul","05:07:327","01:39:283","true","false"
13,"ZPL NUC","Porumbarul","05:17:176","01:26:146","true","false"
Results,"SuperMarket 1",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"SUS KIKI","Clockwork Trial","02:14:823","00:41:079","true","false"
02,"ZPL GORGON","Clockwork Trial","02:17:983","00:40:356","true","false"
03,"ANB BGM","Clockwork Trial","02:22:767","00:44:571","true","false"
04,"ANB POWERATE","Clockwork Trial","02:24:560","00:43:312","true","false"
05,"RBK TT","Clockwork Trial","02:27:752","00:43:468","true","false"
06,"ZAP LOPESCA","Clockwork Trial","02:28:519","00:43:807","true","false"
07,"WAR DRACO","Clockwork Trial","02:31:378","00:46:342","true","false"
08,"WAR C.EMMANUEL","Clockwork Trial","02:36:585","00:46:648","true","false"
09,"ZAP HONKA","Clockwork Trial","02:37:713","00:44:623","true","false"
10,"ZPL NUC","Clockwork Trial","02:38:891","00:48:653","true","false"
11,"ZPL LOQ","Clockwork Trial","02:38:930","00:49:968","true","false"
12,"WAR MICHEL","Clockwork Trial","02:40:552","00:44:613","true","false"
13,"RBK MARRAX","Clockwork Trial","02:41:528","00:43:327","true","false"
14,"RAL LINGOT","Clockwork Trial","02:45:992","00:49:992","true","false"
Results,"School's Out! 1",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"WAR MICHEL","Whiplash","01:51:627","00:36:245","true","false"
02,"ZAP LOPESCA","Whiplash","01:55:581","00:36:398","true","false"
03,"SUS KIKI","Whiplash","01:56:074","00:34:140","true","false"
04,"WAR C.EMMANUEL","Whiplash","02:01:589","00:38:041","true","false"
05,"ANB BGM","Whiplash","02:05:936","00:36:496","true","false"
06,"RBK TT","Whiplash","02:06:539","00:39:303","true","false"
07,"ANB POWERATE","Whiplash","02:08:314","00:38:394","true","false"
08,"ZAP HONKA","Whiplash","02:09:073","00:38:839","true","false"
09,"ZPL LOQ","Whiplash","02:10:448","00:36:794","true","false"
10,"ZPL GORGON","Whiplash","02:12:010","00:39:554","true","false"
11,"RBK MARRAX","Whiplash","02:12:157","00:36:794","true","false"
12,"RAL LINGOT","Whiplash","02:13:735","00:43:012","true","false"
13,"ZPL NUC","Whiplash","03:14:097","00:58:406","false","false"
Results,"Museum 2",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"WAR C.EMMANUEL","Electric Sheep","01:50:625","00:35:286","true","false"
02,"SUS KIKI","Electric Sheep","01:54:048","00:37:039","true","false"
03,"RBK TT","Electric Sheep","01:58:759","00:36:422","true","false"
04,"ZAP LOPESCA","Electric Sheep","02:01:707","00:37:943","true","false"
05,"ANB BGM","Electric Sheep","02:02:628","00:36:391","true","false"
06,"ZAP HONKA","Electric Sheep","02:03:089","00:36:685","true","false"
07,"WAR DRACO","Electric Sheep","02:07:724","00:41:168","true","false"
08,"ZPL LOQ","Electric Sheep","02:09:000","00:38:868","true","false"
09,"ZPL GORGON","Electric Sheep","02:09:280","00:35:700","true","false"
10,"RBK MARRAX","Electric Sheep","02:18:098","00:40:951","true","false"
11,"ZPL NUC","Electric Sheep","02:20:152","00:41:451","true","false"
12,"ANB POWERATE","Electric Sheep","02:21:513","00:44:570","true","false"
13,"WAR MICHEL","Electric Sheep","02:23:463","00:44:300","true","false"
14,"RAL LINGOT","Electric Sheep","02:26:103","00:45:041","true","false"
Results,"RV Temple",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"WAR MICHEL","Clockwork Trial","03:17:740","01:33:782","true","false"
02,"ANB BGM","Clockwork Trial","03:19:133","01:36:627","true","false"
03,"WAR C.EMMANUEL","Clockwork Trial","03:20:412","01:32:955","true","false"
04,"ZPL GORGON","Clockwork Trial","03:24:297","01:36:087","true","false"
05,"SUS KIKI","Clockwork Trial","03:26:216","01:41:761","true","false"
06,"ANB POWERATE","Clockwork Trial","03:27:696","01:37:378","true","false"
07,"ZPL LOQ","Clockwork Trial","03:30:322","01:44:642","true","false"
08,"ZAP LOPESCA","Clockwork Trial","03:30:600","01:39:116","true","false"
09,"RAL LINGOT","Clockwork Trial","03:32:198","01:44:735","true","false"
10,"RBK MARRAX","Clockwork Trial","03:33:740","01:44:948","true","false"
11,"ZAP HONKA","Clockwork Trial","03:40:774","01:45:894","true","false"
12,"WAR DRACO","Clockwork Trial","03:42:373","01:44:664","true","false"
13,"ZPL NUC","Clockwork Trial","03:52:359","01:53:332","true","false"
Results,"Jailhouse Rock",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"SUS KIKI","Concept 3000","02:33:929","00:49:944","true","false"
02,"ZAP LOPESCA","Concept 3000","02:46:442","00:51:771","true","false"
03,"ZPL GORGON","Concept 3000","02:48:747","00:54:056","true","false"
04,"ANB BGM","Concept 3000","02:49:220","00:51:475","true","false"
05,"WAR C.EMMANUEL","Concept 3000","02:51:376","00:55:600","true","false"
06,"ZAP HONKA","Concept 3000","02:51:574","00:55:306","true","false"
07,"ANB POWERATE","Concept 3000","02:52:093","00:53:917","true","false"
08,"ZPL LOQ","Concept 3000","02:53:167","00:53:939","true","false"
09,"WAR MICHEL","Concept 3000","02:57:110","00:57:782","true","false"
10,"RBK MARRAX","Concept 3000","02:58:584","00:53:250","true","false"
11,"WAR DRACO","Concept 3000","03:00:645","00:56:457","true","false"
12,"RAL LINGOT","Concept 3000","03:36:582","01:03:967","true","false"
Results,"Rooftops",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"WAR MICHEL","NY 54","02:34:783","00:49:748","true","false"
02,"SUS KIKI","NY 54","02:36:696","00:47:656","true","false"
03,"ZAP HONKA","NY 54","02:43:323","00:51:230","true","false"
04,"ZAP LOPESCA","NY 54","02:46:839","00:50:599","true","false"
05,"ZPL GORGON","NY 54","02:50:645","00:51:991","true","false"
06,"ANB POWERATE","NY 54","02:53:777","00:53:602","true","false"
07,"ANB BGM","NY 54","02:55:344","00:54:787","true","false"
08,"WAR DRACO","NY 54","02:55:814","00:54:748","true","false"
09,"RBK MARRAX","NY 54","02:55:816","00:57:406","true","false"
10,"ZPL LOQ","NY 54","02:57:492","00:53:280","true","false"
11,"RAL LINGOT","NY 54","03:03:987","00:55:008","true","false"
12,"ZPL NUC","NY 54","03:09:221","00:56:821","true","false"
13,"WAR C.EMMANUEL","NY 54","03:09:748","00:54:932","true","false"
Results,"Toy World Aquatica: Redux",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"SUS KIKI","G3X","02:05:539","00:40:492","true","false"
02,"WAR C.EMMANUEL","G3X","02:08:536","00:40:611","true","false"
03,"ANB POWERATE","G3X","02:11:337","00:42:247","true","false"
04,"WAR MICHEL","G3X","02:11:842","00:40:659","true","false"
05,"ANB BGM","G3X","02:13:683","00:42:967","true","false"
06,"ZPL GORGON","G3X","02:13:855","00:41:348","true","false"
07,"ZAP HONKA","G3X","02:14:714","00:40:755","true","false"
08,"ZAP LOPESCA","G3X","02:24:344","00:45:200","true","false"
09,"RBK MARRAX","G3X","02:29:838","00:45:246","true","false"
10,"ZPL LOQ","G3X","02:31:271","00:46:777","true","false"
11,"WAR DRACO","G3X","02:40:089","00:49:539","true","false"
12,"ZPL NUC","G3X","02:42:110","00:52:072","true","false"
13,"RAL LINGOT","G3X","02:52:574","00:54:087","true","false"
Results,"Toytanic 1",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"SUS KIKI","Mongoose","02:49:977","00:54:486","true","false"
02,"ANB BGM","Mongoose","02:52:327","00:54:354","true","false"
03,"WAR MICHEL","Mongoose","02:59:727","00:57:136","true","false"
04,"ZPL LOQ","Mongoose","03:05:174","00:56:930","true","false"
05,"WAR DRACO","Mongoose","03:06:747","01:01:107","true","false"
06,"ZPL GORGON","Mongoose","03:10:665","00:57:729","true","false"
07,"ZPL NUC","Mongoose","03:11:242","01:02:109","true","false"
08,"ANB POWERATE","Mongoose","03:13:696","01:00:507","true","false"
09,"ZAP LOPESCA","Mongoose","03:14:285","00:55:525","true","false"
10,"ZAP HONKA","Mongoose","03:19:261","01:00:992","true","false"
11,"WAR C.EMMANUEL","Mongoose","03:19:646","01:02:803","true","false"
12,"RBK MARRAX","Mongoose","03:19:818","01:01:296","true","false"
13,"RAL LINGOT","Mongoose","03:32:571","01:09:088","true","false"
Results,"Spa-Volt 1",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"WAR C.EMMANUEL","Concept 4000","02:33:640","00:47:756","true","false"
02,"ANB POWERATE","Concept 4000","02:34:068","00:49:928","true","false"
03,"SUS KIKI","Concept 4000","02:39:557","00:48:528","true","false"
04,"ZPL GORGON","Concept 4000","02:46:016","00:52:362","true","false"
05,"WAR MICHEL","Concept 4000","02:49:285","00:50:604","true","false"
06,"ANB BGM","Concept 4000","02:59:285","00:58:684","true","false"
